entry_time,exit_time,exit_reason,expiry,entry_spot,realized_pnl,deployed_capital,long_call,short_call,long_put,short_put
2024-11-22 15:15:00,2024-11-23 15:15:00,TP,2024-11-28,23873.5,38345.0,500000.0,24200.0,24500.0,23600.0,23300.0
2024-12-20 15:15:00,2024-12-21 15:15:00,TP,2024-12-26,23631.35,36345.0,500000.0,23900.0,24200.0,23300.0,23000.0
2025-01-24 15:15:00,2025-01-25 15:15:00,TP,2025-01-30,23090.35,33225.0,500000.0,23400.0,23700.0,22800.0,22500.0
2025-02-21 15:15:00,2025-02-22 15:15:00,TP,2025-02-27,22764.35,28905.0,500000.0,23100.0,23400.0,22500.0,22200.0
2025-03-21 15:15:00,2025-03-22 15:15:00,TP,2025-03-27,23355.65,24910.0,500000.0,23700.0,24000.0,23100.0,22800.0
2025-05-23 15:15:00,2025-05-24 15:15:00,TP,2025-05-29,24845.15,40585.0,500000.0,25100.0,25400.0,24500.0,24200.0
2025-06-20 15:15:00,2025-06-21 15:15:00,TP,2025-06-26,25079.75,30910.0,500000.0,25400.0,25700.0,24800.0,24500.0
2025-07-25 15:15:00,2025-07-26 15:15:00,TP,2025-07-31,24832.2,23860.0,500000.0,25100.0,25400.0,24500.0,24200.0
2025-08-22 15:15:00,2025-08-23 15:15:00,TP,2025-08-28,24869.45,23415.0,500000.0,25200.0,25500.0,24600.0,24300.0
2025-09-19 15:15:00,2025-09-20 15:15:00,TP,2025-09-25,25352.5,28615.0,500000.0,25700.0,26000.0,25100.0,24800.0
2025-10-24 15:15:00,2025-10-25 15:15:00,TP,2025-10-30,25797.45,18505.0,500000.0,26100.0,26400.0,25500.0,25200.0
