timestamp,event,action,strike,option_type,side,quantity,price,strategy_type,regime,pnl
2024-11-12T12:49:00,OPEN,OPEN,24100.0,CE,SELL,75,273.15,BEAR_CALL_SPREAD,BEAR,
2024-11-13T09:20:00,CLOSE,DAILY_LOCK_RED,24100.0,CE,SELL,75,375.0,BEAR_CALL_SPREAD,BEAR,-2000.0
2024-11-28T10:38:00,OPEN,OPEN,24300.0,CE,SELL,75,229.0,BEAR_CALL_SPREAD,BEAR,
2024-11-28T10:40:00,CLOSE,BASKET_SL_HIT,24300.0,CE,SELL,75,250.55,BEAR_CALL_SPREAD,BEAR,-1616.250000000001
2024-11-28T10:41:00,OPEN,OPEN,24300.0,CE,SELL,75,229.9,BEAR_CALL_SPREAD,BEAR,
2024-11-28T10:48:00,CLOSE,DAILY_LOCK_RED,24300.0,CE,SELL,75,252.65,BEAR_CALL_SPREAD,BEAR,-383.7499999999991
2024-12-02T09:25:00,OPEN,OPEN,24200.0,CE,SELL,75,351.1,BEAR_CALL_SPREAD,BEAR,
2024-12-02T09:41:00,CLOSE,CLOSE_ALL,24200.0,CE,SELL,75,297.75,BEAR_CALL_SPREAD,BEAR,4001.250000000002
2024-12-18T12:27:00,OPEN,OPEN,24300.0,CE,SELL,75,227.1,BEAR_CALL_SPREAD,BEAR,
2024-12-18T12:36:00,CLOSE,BASKET_SL_HIT,24300.0,CE,SELL,75,243.0,BEAR_CALL_SPREAD,BEAR,-1192.5000000000005
2024-12-18T12:37:00,OPEN,OPEN,24350.0,CE,SELL,75,277.8,BEAR_CALL_SPREAD,BEAR,
2024-12-20T09:39:00,CLOSE,DAILY_LOCK_RED,24350.0,CE,SELL,75,383.55,BEAR_CALL_SPREAD,BEAR,-2000.0
2024-12-31T09:25:00,OPEN,OPEN,23650.0,CE,SELL,75,365.3,BEAR_CALL_SPREAD,BEAR,
2024-12-31T10:09:00,CLOSE,DAILY_LOCK_RED,23650.0,CE,SELL,75,401.1,BEAR_CALL_SPREAD,BEAR,-2000.0
2025-01-14T09:25:00,OPEN,OPEN,23000.0,PE,SELL,75,185.0,BULL_PUT_SPREAD,BULL,
2025-01-14T09:25:00,OPEN,OPEN,22000.0,PE,BUY,75,1.388155530048257,BULL_PUT_SPREAD,BULL,
2025-01-14T09:35:00,CLOSE,BASKET_SL_HIT,23000.0,PE,SELL,75,199.6,BULL_PUT_SPREAD,BULL,-1094.9999999999995
2025-01-14T09:35:00,CLOSE,BASKET_SL_HIT,22000.0,PE,BUY,75,1.1847113425886973,BULL_PUT_SPREAD,BULL,-15.258314059466988
2025-01-14T09:36:00,OPEN,OPEN,23000.0,PE,SELL,75,198.0,BULL_PUT_SPREAD,BULL,
2025-01-14T09:36:00,OPEN,OPEN,22000.0,PE,BUY,75,0.9702210873130616,BULL_PUT_SPREAD,BULL,
2025-01-14T15:16:00,CLOSE,CLOSE_ALL,23000.0,PE,SELL,75,170.5,BULL_PUT_SPREAD,BULL,2062.5
2025-01-14T15:17:00,CLOSE,CLOSE_ALL,22000.0,PE,BUY,75,1.1985598890065132,BULL_PUT_SPREAD,BULL,17.125410127008873
2025-01-23T09:37:00,OPEN,OPEN,23050.0,PE,SELL,75,127.2,BULL_PUT_SPREAD,BULL,
2025-01-23T09:37:00,OPEN,OPEN,21950.0,PE,BUY,75,1.6044265721013837,BULL_PUT_SPREAD,BULL,
2025-01-24T09:50:00,CLOSE,BASKET_SL_HIT,23050.0,PE,SELL,75,141.95,BULL_PUT_SPREAD,BULL,-1106.2499999999989
2025-01-24T09:50:00,CLOSE,BASKET_SL_HIT,21950.0,PE,BUY,75,1.2909591316713318,BULL_PUT_SPREAD,BULL,-23.510058032253895
2025-01-24T11:13:00,OPEN,OPEN,23100.0,PE,SELL,75,91.2,BULL_PUT_SPREAD,BULL,
2025-01-24T11:13:00,OPEN,OPEN,22100.0,PE,BUY,75,1.0946784980526727,BULL_PUT_SPREAD,BULL,
2025-01-24T12:41:00,CLOSE,DAILY_LOCK_RED,23100.0,PE,SELL,75,112.8,BULL_PUT_SPREAD,BULL,-870.2399419677472
2025-01-24T15:15:00,CLOSE,CLOSE_ALL,22100.0,PE,BUY,75,2.38396007696112,BULL_PUT_SPREAD,BULL,96.69611841813354
2025-01-30T09:25:00,OPEN,OPEN,23000.0,PE,SELL,75,66.45,BULL_PUT_SPREAD,BULL,
2025-01-30T09:25:00,OPEN,OPEN,22000.0,PE,BUY,75,1.2199471594947948,BULL_PUT_SPREAD,BULL,
2025-01-30T10:09:00,CLOSE,CLOSE_ALL,23000.0,PE,SELL,75,33.0,BULL_PUT_SPREAD,BULL,2508.75
2025-02-13T15:23:00,CLOSE,CLOSE_ALL,22000.0,PE,BUY,75,2.455416685220876,BULL_PUT_SPREAD,BULL,92.66021442945609
2025-02-14T10:36:00,OPEN,OPEN,23150.0,CE,SELL,75,296.05,BEAR_CALL_SPREAD,BEAR,
2025-02-14T10:42:00,CLOSE,BASKET_SL_HIT,23150.0,CE,SELL,75,318.75,BEAR_CALL_SPREAD,BEAR,-1702.499999999999
2025-02-14T10:43:00,OPEN,OPEN,23050.0,CE,SELL,75,275.5,BEAR_CALL_SPREAD,BEAR,
2025-02-14T11:04:00,CLOSE,DAILY_LOCK_RED,23050.0,CE,SELL,75,305.4,BEAR_CALL_SPREAD,BEAR,-297.5000000000009
2025-02-18T09:25:00,OPEN,OPEN,23000.0,CE,SELL,75,268.2,BEAR_CALL_SPREAD,BEAR,
2025-02-18T09:36:00,CLOSE,BASKET_SL_HIT,23000.0,CE,SELL,75,281.7,BEAR_CALL_SPREAD,BEAR,-1012.5
2025-02-18T09:37:00,OPEN,OPEN,23000.0,CE,SELL,75,272.95,BEAR_CALL_SPREAD,BEAR,
2025-02-18T10:30:00,CLOSE,DAILY_LOCK_RED,23000.0,CE,SELL,75,306.05,BEAR_CALL_SPREAD,BEAR,-987.5
2025-02-28T09:25:00,OPEN,OPEN,22450.0,CE,SELL,75,293.35,BEAR_CALL_SPREAD,BEAR,
2025-02-28T09:36:00,CLOSE,DAILY_LOCK_RED,22450.0,CE,SELL,75,337.6,BEAR_CALL_SPREAD,BEAR,-2000.0
2025-03-05T09:29:00,OPEN,OPEN,22000.0,PE,SELL,75,162.2,BULL_PUT_SPREAD,BULL,
2025-03-05T09:29:00,OPEN,OPEN,21000.0,PE,BUY,75,1.1355688156347947,BULL_PUT_SPREAD,BULL,
2025-03-05T12:31:00,CLOSE,CLOSE_ALL,22000.0,PE,SELL,75,8.160958903041287,BULL_PUT_SPREAD,BULL,11552.928082271903
2025-04-07T15:22:00,CLOSE,CLOSE_ALL,21000.0,PE,BUY,75,1.5637772790707603,BULL_PUT_SPREAD,BULL,32.115634757697414
2025-04-21T09:25:00,OPEN,OPEN,23850.0,PE,SELL,75,203.15,BULL_PUT_SPREAD,BULL,
2025-04-21T09:25:00,OPEN,OPEN,22750.0,PE,BUY,75,1.1520660067851254,BULL_PUT_SPREAD,BULL,
2025-04-21T09:44:00,CLOSE,CLOSE_ALL,23850.0,PE,SELL,75,164.8,BULL_PUT_SPREAD,BULL,2876.2499999999995
