date,weekday,entry_attempted,entry_outcome,entry_block_reason,spot_open,spot_close,combined_premium_pct,iv_rank,iv_skew,oi_skew,volume_skew,call_oi_max_strike,put_oi_max_strike,events,event_count,event_tags,has_position,structure,entry_date,target_expiry,target_days_remaining,current_pnl,best_pnl,close_reason,close_pnl,ml_exit_prob,ml_exit_decision
2024-11-11,0,True,OPENED,,24014.6,24122.1,0.0244622021603524,1.0,-0.038938686903226,-0.34963279806987,-0.2747899159663866,24000,24000,[],0,,True,STRANGLE,2024-11-11T09:15:00+05:30,2024-11-19T00:00:00,8.0,5815.000000000015,5815.000000000015,,,2.2640803503981094e-06,HOLD
2024-11-12,1,False,,,24235.0,23842.95,0.0205673612543841,0.0,-0.14152869270996,-0.0148573907385316,0.6595744680851063,24250,24250,[],0,,False,STRANGLE,2024-11-11T09:15:00+05:30,2024-11-19T00:00:00,7.0,,,target_hit,7360.000000000015,2.2640803503981094e-06,HOLD
2024-11-13,2,True,,iv_rank_band,23838.85,23602.9,0.0210161144518296,0.0,-0.0801700745855961,-0.3806530737390771,-0.891156462585034,23950,23850,[],0,,False,,,,,,,,,,
2024-11-14,3,True,OPENED,,23599.75,23559.6,0.0221167597114376,0.748362481718938,-0.0131446252364326,-0.3096571171686624,-0.0947237224761113,23800,23500,[],0,,False,STRANGLE,2024-11-14T09:15:00+05:30,2024-11-26T00:00:00,12.0,,,hard_exit,5305.000000000007,0.010530628005722605,HOLD
2024-11-18,0,True,OPENED,,23587.75,23465.3,0.0196712276499454,0.3850313856715743,-0.06369877996919,-0.1527452780183837,-0.0168821292775665,23500,23500,[],0,,True,STRANGLE,2024-11-18T09:15:00+05:30,2024-11-26T00:00:00,8.0,3715.0,3715.0,,,2.2640803503981094e-06,HOLD
2024-11-19,1,False,,,23551.1,23468.7,0.0169121612153997,0.6144562554247416,-0.0134394303919333,-0.1354003549431047,-0.0043352601156069,23750,23550,[],0,,False,STRANGLE,2024-11-18T09:15:00+05:30,2024-11-26T00:00:00,7.0,,,trailing_lock,1860.0,1.2277718094622115e-05,HOLD
2024-11-21,3,True,OPENED,,23446.75,23346.75,0.0183671510977001,0.1230414308514125,-0.2244545264789242,-0.286666226825889,-0.2019464720194647,23750,23550,[],0,,False,STRANGLE,2024-11-21T09:15:00+05:30,2024-12-03T00:00:00,12.0,,,hard_exit,4345.0,0.7629957190475112,HOLD
2024-11-22,4,False,,,23399.65,23873.5,0.0156433963755868,0.2965136467218789,-0.0327594604678826,-0.0601778697001034,0.0630122042680848,23500,23500,[],0,,False,,,,,,,,,,
2024-11-25,0,True,,premium_lt_min,24288.7,24250.8,0.014302947461165,0.8878797587957044,-0.0256245222146006,0.4979459097774694,0.4678289000718907,24500,24000,[],0,,False,,,,,,,,,,
2024-11-26,1,True,,premium_lt_min,24286.8,24192.95,0.0108536324258444,0.4419465772154943,-0.0851486629691381,0.0952575527382274,0.0718127964774506,24500,24300,[],0,,False,,,,,,,,,,
2024-11-27,2,True,,premium_lt_min,24164.05,24277.35,0.0087423258932174,1.0,0.1185527941085599,-0.226577381701617,-0.4742092689918777,24250,24150,[],0,,False,,,,,,,,,,
2024-11-28,3,True,,premium_lt_min,24300.7,23957.45,0.0058208199763792,0.1627283619264982,0.0962812289708119,0.0698785125489218,0.0273571225688786,24500,24000,[],0,,False,,,,,,,,,,
2024-11-29,4,False,,,23959.35,24123.65,0.0321210717319125,1.0,0.0134363138783311,0.0571161048689138,-0.6261682242990654,24250,24250,[],0,,False,,,,,,,,,,
2024-12-02,0,True,OPENED,,24048.4,24275.25,0.0291204404451023,0.5864827359802544,0.0250641730065462,-0.0852739726027397,0.3,24150,24250,[],0,,True,STRANGLE,2024-12-02T09:15:00+05:30,2024-12-10T00:00:00,8.0,530.0,530.0,,,2.2640803503981094e-06,HOLD
2024-12-05,3,False,,,24499.95,24701.55,0.0271286267931159,0.4349362043807306,-0.091636624907247,-0.1093244298446377,-0.0292517006802721,24500,24500,[],0,,False,STRANGLE,2024-12-02T09:15:00+05:30,2024-12-10T00:00:00,5.0,,,hard_exit,5514.999999999993,2.2640803503981094e-06,HOLD
