timestamp,spot,atm_call_strike,atm_put_strike,atm_call_ltp,atm_put_ltp,atm_call_delta,atm_put_delta,atm_call_iv,iv_rank,combined_premium_pct,raw_call,raw_put
2025-11-14T09:47:28.783193+05:30,5100.0,5100.0,5100.0,33.15,207.75,0.24953,-0.71176,,,0.04723529411764706,"{""greeks"": {""delta"": 0.24953, ""theta"": -3.48285, ""gamma"": 0.00139, ""vega"": 2.76972}, ""implied_volatility"": 26.131255030627855, ""last_price"": 33.15, ""oi"": 116625, ""previous_close_price"": 37.35, ""previous_oi"": 107125, ""previous_volume"": 161250, ""top_ask_price"": 33.2, ""top_ask_quantity"": 125, ""top_bid_price"": 32.75, ""top_bid_quantity"": 125, ""volume"": 40250}","{""greeks"": {""delta"": -0.71176, ""theta"": -2.99207, ""gamma"": 0.00127, ""vega"": 2.97957}, ""implied_volatility"": 30.877618480084134, ""last_price"": 207.75, ""oi"": 50625, ""previous_close_price"": 213.5, ""previous_oi"": 51000, ""previous_volume"": 3125, ""top_ask_price"": 207.7, ""top_ask_quantity"": 125, ""top_bid_price"": 204.3, ""top_bid_quantity"": 125, ""volume"": 500}"
2025-11-14T09:48:28.805039+05:30,5100.0,5100.0,5100.0,33.15,207.75,0.24953,-0.71176,,,0.04723529411764706,"{""greeks"": {""delta"": 0.24953, ""theta"": -3.48285, ""gamma"": 0.00139, ""vega"": 2.76972}, ""implied_volatility"": 26.131255030627855, ""last_price"": 33.15, ""oi"": 116625, ""previous_close_price"": 37.35, ""previous_oi"": 107125, ""previous_volume"": 161250, ""top_ask_price"": 33.2, ""top_ask_quantity"": 125, ""top_bid_price"": 32.75, ""top_bid_quantity"": 125, ""volume"": 40250}","{""greeks"": {""delta"": -0.71176, ""theta"": -2.99207, ""gamma"": 0.00127, ""vega"": 2.97957}, ""implied_volatility"": 30.877618480084134, ""last_price"": 207.75, ""oi"": 50625, ""previous_close_price"": 213.5, ""previous_oi"": 51000, ""previous_volume"": 3125, ""top_ask_price"": 207.7, ""top_ask_quantity"": 125, ""top_bid_price"": 204.3, ""top_bid_quantity"": 125, ""volume"": 500}"
2025-11-14T09:49:28.834451+05:30,5100.0,5100.0,5100.0,33.15,207.75,0.24953,-0.71176,,,0.04723529411764706,"{""greeks"": {""delta"": 0.24953, ""theta"": -3.48285, ""gamma"": 0.00139, ""vega"": 2.76972}, ""implied_volatility"": 26.131255030627855, ""last_price"": 33.15, ""oi"": 116625, ""previous_close_price"": 37.35, ""previous_oi"": 107125, ""previous_volume"": 161250, ""top_ask_price"": 33.2, ""top_ask_quantity"": 125, ""top_bid_price"": 32.75, ""top_bid_quantity"": 125, ""volume"": 40250}","{""greeks"": {""delta"": -0.71176, ""theta"": -2.99207, ""gamma"": 0.00127, ""vega"": 2.97957}, ""implied_volatility"": 30.877618480084134, ""last_price"": 207.75, ""oi"": 50625, ""previous_close_price"": 213.5, ""previous_oi"": 51000, ""previous_volume"": 3125, ""top_ask_price"": 207.7, ""top_ask_quantity"": 125, ""top_bid_price"": 204.3, ""top_bid_quantity"": 125, ""volume"": 500}"
2025-11-14T09:50:28.855838+05:30,5100.0,5100.0,5100.0,33.15,207.75,0.24953,-0.71176,,,0.04723529411764706,"{""greeks"": {""delta"": 0.24953, ""theta"": -3.48285, ""gamma"": 0.00139, ""vega"": 2.76972}, ""implied_volatility"": 26.131255030627855, ""last_price"": 33.15, ""oi"": 116625, ""previous_close_price"": 37.35, ""previous_oi"": 107125, ""previous_volume"": 161250, ""top_ask_price"": 33.2, ""top_ask_quantity"": 125, ""top_bid_price"": 32.75, ""top_bid_quantity"": 125, ""volume"": 40250}","{""greeks"": {""delta"": -0.71176, ""theta"": -2.99207, ""gamma"": 0.00127, ""vega"": 2.97957}, ""implied_volatility"": 30.877618480084134, ""last_price"": 207.75, ""oi"": 50625, ""previous_close_price"": 213.5, ""previous_oi"": 51000, ""previous_volume"": 3125, ""top_ask_price"": 207.7, ""top_ask_quantity"": 125, ""top_bid_price"": 204.3, ""top_bid_quantity"": 125, ""volume"": 500}"
2025-11-14T09:51:28.875787+05:30,5100.0,5100.0,5100.0,33.15,207.75,0.24953,-0.71176,,,0.04723529411764706,"{""greeks"": {""delta"": 0.24953, ""theta"": -3.48285, ""gamma"": 0.00139, ""vega"": 2.76972}, ""implied_volatility"": 26.131255030627855, ""last_price"": 33.15, ""oi"": 116625, ""previous_close_price"": 37.35, ""previous_oi"": 107125, ""previous_volume"": 161250, ""top_ask_price"": 33.2, ""top_ask_quantity"": 125, ""top_bid_price"": 32.75, ""top_bid_quantity"": 125, ""volume"": 40250}","{""greeks"": {""delta"": -0.71176, ""theta"": -2.99207, ""gamma"": 0.00127, ""vega"": 2.97957}, ""implied_volatility"": 30.877618480084134, ""last_price"": 207.75, ""oi"": 50625, ""previous_close_price"": 213.5, ""previous_oi"": 51000, ""previous_volume"": 3125, ""top_ask_price"": 207.7, ""top_ask_quantity"": 125, ""top_bid_price"": 204.3, ""top_bid_quantity"": 125, ""volume"": 500}"
2025-11-14T09:52:28.906141+05:30,5100.0,5100.0,5100.0,33.15,207.75,0.24953,-0.71176,,,0.04723529411764706,"{""greeks"": {""delta"": 0.24953, ""theta"": -3.48285, ""gamma"": 0.00139, ""vega"": 2.76972}, ""implied_volatility"": 26.131255030627855, ""last_price"": 33.15, ""oi"": 116625, ""previous_close_price"": 37.35, ""previous_oi"": 107125, ""previous_volume"": 161250, ""top_ask_price"": 33.2, ""top_ask_quantity"": 125, ""top_bid_price"": 32.75, ""top_bid_quantity"": 125, ""volume"": 40250}","{""greeks"": {""delta"": -0.71176, ""theta"": -2.99207, ""gamma"": 0.00127, ""vega"": 2.97957}, ""implied_volatility"": 30.877618480084134, ""last_price"": 207.75, ""oi"": 50625, ""previous_close_price"": 213.5, ""previous_oi"": 51000, ""previous_volume"": 3125, ""top_ask_price"": 207.7, ""top_ask_quantity"": 125, ""top_bid_price"": 204.3, ""top_bid_quantity"": 125, ""volume"": 500}"
2025-11-14T09:53:28.927446+05:30,5100.0,5100.0,5100.0,33.15,207.75,0.24953,-0.71176,,,0.04723529411764706,"{""greeks"": {""delta"": 0.24953, ""theta"": -3.48285, ""gamma"": 0.00139, ""vega"": 2.76972}, ""implied_volatility"": 26.131255030627855, ""last_price"": 33.15, ""oi"": 116625, ""previous_close_price"": 37.35, ""previous_oi"": 107125, ""previous_volume"": 161250, ""top_ask_price"": 33.2, ""top_ask_quantity"": 125, ""top_bid_price"": 32.75, ""top_bid_quantity"": 125, ""volume"": 40250}","{""greeks"": {""delta"": -0.71176, ""theta"": -2.99207, ""gamma"": 0.00127, ""vega"": 2.97957}, ""implied_volatility"": 30.877618480084134, ""last_price"": 207.75, ""oi"": 50625, ""previous_close_price"": 213.5, ""previous_oi"": 51000, ""previous_volume"": 3125, ""top_ask_price"": 207.7, ""top_ask_quantity"": 125, ""top_bid_price"": 204.3, ""top_bid_quantity"": 125, ""volume"": 500}"
2025-11-14T09:54:28.962017+05:30,5100.0,5100.0,5100.0,33.15,207.75,0.24953,-0.71176,,,0.04723529411764706,"{""greeks"": {""delta"": 0.24953, ""theta"": -3.48285, ""gamma"": 0.00139, ""vega"": 2.76972}, ""implied_volatility"": 26.131255030627855, ""last_price"": 33.15, ""oi"": 116625, ""previous_close_price"": 37.35, ""previous_oi"": 107125, ""previous_volume"": 161250, ""top_ask_price"": 33.2, ""top_ask_quantity"": 125, ""top_bid_price"": 32.75, ""top_bid_quantity"": 125, ""volume"": 40250}","{""greeks"": {""delta"": -0.71176, ""theta"": -2.99207, ""gamma"": 0.00127, ""vega"": 2.97957}, ""implied_volatility"": 30.877618480084134, ""last_price"": 207.75, ""oi"": 50625, ""previous_close_price"": 213.5, ""previous_oi"": 51000, ""previous_volume"": 3125, ""top_ask_price"": 207.7, ""top_ask_quantity"": 125, ""top_bid_price"": 204.3, ""top_bid_quantity"": 125, ""volume"": 500}"
2025-11-14T09:55:29.003626+05:30,5100.0,5100.0,5100.0,33.15,207.75,0.24953,-0.71176,,,0.04723529411764706,"{""greeks"": {""delta"": 0.24953, ""theta"": -3.48285, ""gamma"": 0.00139, ""vega"": 2.76972}, ""implied_volatility"": 26.131255030627855, ""last_price"": 33.15, ""oi"": 116625, ""previous_close_price"": 37.35, ""previous_oi"": 107125, ""previous_volume"": 161250, ""top_ask_price"": 33.2, ""top_ask_quantity"": 125, ""top_bid_price"": 32.75, ""top_bid_quantity"": 125, ""volume"": 40250}","{""greeks"": {""delta"": -0.71176, ""theta"": -2.99207, ""gamma"": 0.00127, ""vega"": 2.97957}, ""implied_volatility"": 30.877618480084134, ""last_price"": 207.75, ""oi"": 50625, ""previous_close_price"": 213.5, ""previous_oi"": 51000, ""previous_volume"": 3125, ""top_ask_price"": 207.7, ""top_ask_quantity"": 125, ""top_bid_price"": 204.3, ""top_bid_quantity"": 125, ""volume"": 500}"
2025-11-14T10:05:16.821106+05:30,5100.0,5100.0,5100.0,33.15,207.75,0.24953,-0.71176,,,0.04723529411764706,"{""greeks"": {""delta"": 0.24953, ""theta"": -3.48285, ""gamma"": 0.00139, ""vega"": 2.76972}, ""implied_volatility"": 26.131255030627855, ""last_price"": 33.15, ""oi"": 116625, ""previous_close_price"": 37.35, ""previous_oi"": 107125, ""previous_volume"": 161250, ""top_ask_price"": 33.2, ""top_ask_quantity"": 125, ""top_bid_price"": 32.75, ""top_bid_quantity"": 125, ""volume"": 40250}","{""greeks"": {""delta"": -0.71176, ""theta"": -2.99207, ""gamma"": 0.00127, ""vega"": 2.97957}, ""implied_volatility"": 30.877618480084134, ""last_price"": 207.75, ""oi"": 50625, ""previous_close_price"": 213.5, ""previous_oi"": 51000, ""previous_volume"": 3125, ""top_ask_price"": 207.7, ""top_ask_quantity"": 125, ""top_bid_price"": 204.3, ""top_bid_quantity"": 125, ""volume"": 500}"
