timestamp,pnl,long_call,short_call,long_put,short_put,long_call_ltp,short_call_ltp,long_put_ltp,short_put_ltp,long_call_entry,short_call_entry,long_put_entry,short_put_entry,qty_long,qty_short
2025-09-26 15:15:00,0.0,25000.0,25200.0,24400.0,24200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
2025-09-27 15:15:00,0.0,25000.0,25200.0,24400.0,24200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
2025-09-28 15:15:00,0.0,25000.0,25200.0,24400.0,24200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
2025-09-29 15:15:00,0.0,25000.0,25200.0,24400.0,24200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
2025-09-30 15:15:00,0.0,25000.0,25200.0,24400.0,24200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
2025-10-24 15:15:00,0.0,26100.0,26300.0,25500.0,25300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
2025-10-25 15:15:00,0.0,26100.0,26300.0,25500.0,25300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
2025-10-26 15:15:00,0.0,26100.0,26300.0,25500.0,25300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
2025-10-27 15:15:00,0.0,26100.0,26300.0,25500.0,25300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
2025-10-28 15:15:00,0.0,26100.0,26300.0,25500.0,25300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3
