entry_time,exit_time,exit_reason,expiry,entry_spot,realized_pnl,deployed_capital,long_call,short_call,long_put,short_put,hedge_call,hedge_put,hedge_call_qty,hedge_put_qty,net_credit,shift_points
2024-11-22 15:16:00,2024-11-26 15:16:00,EXPIRY,2024-11-26,23873.5,0.0,1000000.0,24250,24050,23450,23650,24850,22850,2,2,0.0,0
2024-12-27 15:16:00,2024-12-31 15:16:00,EXPIRY,2024-12-31,23832.45,0.0,1000000.0,24250,24050,23450,23650,24850,22850,2,2,0.0,0
2025-01-24 15:16:00,2025-01-28 15:16:00,EXPIRY,2025-01-28,23090.35,0.0,1000000.0,23500,23300,22700,22900,24100,22100,2,2,0.0,0
2025-02-21 15:16:00,2025-02-25 15:16:00,EXPIRY,2025-02-25,22764.35,0.0,1000000.0,23150,22950,22350,22550,23750,21750,2,2,0.0,0
2025-03-21 15:16:00,2025-03-25 15:16:00,EXPIRY,2025-03-25,23355.65,0.0,1000000.0,23750,23550,22950,23150,24350,22350,2,2,0.0,0
2025-04-25 15:16:00,2025-04-29 15:16:00,EXPIRY,2025-04-29,23991.65,0.0,1000000.0,24400,24200,23600,23800,25000,23000,2,2,0.0,0
2025-05-23 15:16:00,2025-05-27 15:16:00,EXPIRY,2025-05-27,24845.15,0.0,1000000.0,25250,25050,24450,24650,25850,23850,2,2,0.0,0
2025-06-20 15:16:00,2025-06-24 15:16:00,EXPIRY,2025-06-24,25079.75,0.0,1000000.0,25500,25300,24700,24900,26100,24100,2,2,0.0,0
2025-07-25 15:16:00,2025-07-29 15:16:00,EXPIRY,2025-07-29,24832.2,0.0,1000000.0,25250,25050,24450,24650,25850,23850,2,2,0.0,0
2025-08-22 15:16:00,2025-08-26 15:16:00,EXPIRY,2025-08-26,24869.45,0.0,1000000.0,25250,25050,24450,24650,25850,23850,2,2,0.0,0
2025-09-26 15:16:00,2025-09-30 15:16:00,EXPIRY,2025-09-30,24673.1,0.0,1000000.0,25050,24850,24250,24450,25650,23650,2,2,0.0,0
2025-10-24 15:16:00,2025-10-28 15:16:00,EXPIRY,2025-10-28,25797.45,0.0,1000000.0,26200,26000,25400,25600,26800,24800,2,2,0.0,0
