date,trades,daily_pnl,max_win,max_loss,running_pnl
2025-09-01,1,860.0000000000036,860.0000000000036,860.0000000000036,860.0000000000036
2025-09-02,1,560.0,560.0,560.0,1420.0000000000036
2025-09-03,1,407.4999999999963,407.4999999999963,407.4999999999963,1827.5
2025-09-04,1,-102.49999999999636,-102.49999999999636,-102.49999999999636,1725.0000000000036
2025-09-05,1,-819.9999999999964,-819.9999999999964,-819.9999999999964,905.0000000000073
2025-09-08,1,170.0,170.0,170.0,1075.0000000000073
2025-09-09,1,-125.0,-125.0,-125.0,950.0000000000073
2025-09-10,1,-300.0,-300.0,-300.0,650.0000000000073
2025-09-11,1,797.5000000000036,797.5000000000036,797.5000000000036,1447.500000000011
2025-10-01,1,912.5,912.5,912.5,2360.000000000011
2025-10-03,1,537.5,537.5,537.5,2897.500000000011
2025-10-06,1,270.0,270.0,270.0,3167.500000000011
2025-10-07,1,-117.49999999999636,-117.49999999999636,-117.49999999999636,3050.0000000000146
2025-10-29,1,-462.5000000000037,-462.5000000000037,-462.5000000000037,2587.500000000011
2025-10-30,1,-162.50000000000364,-162.50000000000364,-162.50000000000364,2425.0000000000073
2025-10-31,1,-302.5,-302.5,-302.5,2122.5000000000073
