timestamp,action,call_ltp,put_ltp,long_call_ltp,long_put_ltp,call_strike,put_strike,long_call_strike,long_put_strike,expiry,target_days,expiry_mode,structure,notes,realized,reason
2025-04-09 09:15:00+05:30,OPEN,529.25,396.35,,,22400.0,22400.0,,,2025-04-15T00:00:00,6.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-04-09 15:29:00+05:30,CLOSE,569.25,419.6,,,,,,,,,,,,-4743.75,weekly_stop
2025-04-16 09:15:00+05:30,OPEN,279.65,251.4,,,23300.0,23300.0,,,2025-04-22T00:00:00,6.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-04-17 15:29:00+05:30,CLOSE,270.0,250.0,,,,,,,,,,,,828.75,hard_exit
2025-04-21 09:15:00+05:30,OPEN,227.3,248.25,,,24000.0,24000.0,,,2025-04-22T00:00:00,1.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-04-24 15:29:00+05:30,CLOSE,203.7,185.05,,,,,,,,,,,,6510.0,target_hit
2025-05-05 09:15:00+05:30,OPEN,451.5,374.35,,,24450.0,24450.0,,,2025-05-06T00:00:00,1.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-05-08 15:29:00+05:30,CLOSE,509.2,454.0,,,,,,,,,,,,-10301.25,weekly_stop
2025-05-13 09:15:00+05:30,OPEN,376.95,303.15,,,24950.0,24950.0,,,2025-05-13T00:00:00,0.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-05-15 15:29:00+05:30,CLOSE,298.05,270.55,,,,,,,,,,,,8362.499999999993,target_hit
2025-05-19 09:15:00+05:30,OPEN,281.2,255.45,,,25000.0,25000.0,,,2025-05-20T00:00:00,1.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-05-22 15:29:00+05:30,CLOSE,209.9,190.05,,,,,,,,,,,,10252.499999999996,target_hit
2025-05-27 09:15:00+05:30,OPEN,243.55,190.4,,,24900.0,24900.0,,,2025-05-27T00:00:00,0.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-05-28 15:29:00+05:30,CLOSE,105.15,107.4,,,,,,,,,,,,16605.000000000004,target_hit
2025-06-02 09:15:00+05:30,OPEN,461.55,372.45,,,24600.0,24600.0,,,2025-06-03T00:00:00,1.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-06-04 15:29:00+05:30,CLOSE,428.6,306.0,,,,,,,,,,,,7455.0,target_hit
2025-06-05 09:15:00+05:30,OPEN,410.0,303.0,,,24650.0,24650.0,,,2025-06-10T00:00:00,5.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-06-05 15:29:00+05:30,CLOSE,410.0,287.55,,,,,,,,,,,,1158.75,hard_exit
2025-06-09 09:15:00+05:30,OPEN,372.0,283.85,,,25100.0,25100.0,,,2025-06-10T00:00:00,1.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-06-10 15:29:00+05:30,CLOSE,305.0,252.0,,,,,,,,,,,,7413.75,target_hit
2025-06-11 09:15:00+05:30,OPEN,305.75,241.85,,,25100.0,25100.0,,,2025-06-17T00:00:00,6.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-06-12 15:29:00+05:30,CLOSE,301.2,231.85,,,,,,,,,,,,1091.25,hard_exit
2025-06-16 09:15:00+05:30,OPEN,273.25,216.35,,,24750.0,24750.0,,,2025-06-17T00:00:00,1.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-06-19 15:29:00+05:30,CLOSE,203.15,178.9,,,,,,,,,,,,8066.25,target_hit
2025-06-30 09:15:00+05:30,OPEN,424.0,313.75,,,25650.0,25650.0,,,2025-07-01T00:00:00,1.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-07-03 15:29:00+05:30,CLOSE,380.0,284.0,,,,,,,,,,,,5531.25,hard_exit
2025-07-09 09:15:00+05:30,OPEN,336.35,243.1,,,25500.0,25500.0,,,2025-07-15T00:00:00,6.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-07-10 15:29:00+05:30,CLOSE,298.9,230.95,,,,,,,,,,,,3720.0000000000073,hard_exit
2025-07-14 09:15:00+05:30,OPEN,286.35,215.45,,,25100.0,25100.0,,,2025-07-15T00:00:00,1.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-07-16 15:29:00+05:30,CLOSE,222.5,179.8,,,,,,,,,,,,7462.5,target_hit
2025-08-04 09:15:00+05:30,OPEN,338.8,248.0,,,24600.0,24600.0,,,2025-08-05T00:00:00,1.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-08-07 15:29:00+05:30,CLOSE,272.0,212.1,,,,,,,,,,,,7702.5,target_hit
2025-08-11 09:15:00+05:30,OPEN,283.0,208.55,,,24350.0,24350.0,,,2025-08-12T00:00:00,1.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-08-14 15:29:00+05:30,CLOSE,245.75,168.0,,,,,,,,,,,,5835.0,hard_exit
2025-09-01 09:15:00+05:30,OPEN,385.35,237.65,,,24500.0,24500.0,,,2025-09-02T00:00:00,1.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-09-04 15:29:00+05:30,CLOSE,307.45,220.7,,,,,,,,,,,,7113.75,target_hit
2025-09-08 09:15:00+05:30,OPEN,298.25,199.55,,,24800.0,24800.0,,,2025-09-09T00:00:00,1.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-09-11 15:29:00+05:30,CLOSE,268.8,155.75,,,,,,,,,,,,5493.75,hard_exit
2025-10-01 09:15:00+05:30,OPEN,344.35,236.6,,,24650.0,24650.0,,,2025-10-07T00:00:00,6.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-10-03 15:29:00+05:30,CLOSE,305.15,187.8,,,,,,,,,,,,6600.0,target_hit
2025-10-06 09:15:00+05:30,OPEN,300.85,188.55,,,24900.0,24900.0,,,2025-10-07T00:00:00,1.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-10-09 15:29:00+05:30,CLOSE,273.95,146.1,,,,,,,,,,,,5201.250000000004,hard_exit
2025-10-13 09:15:00+05:30,OPEN,265.4,151.0,,,25200.0,25200.0,,,2025-10-14T00:00:00,1.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-10-14 15:28:00+05:30,CLOSE,252.1,163.2,,,,,,,,,,,,82.50000000000364,trailing_lock
2025-10-29 09:15:00+05:30,OPEN,418.2,230.95,,,26000.0,26000.0,,,2025-11-04T00:00:00,6.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-10-30 15:29:00+05:30,CLOSE,378.85,237.6,,,,,,,,,,,,2452.5,hard_exit
2025-11-03 09:15:00+05:30,OPEN,374.3,224.95,,,25700.0,25700.0,,,2025-11-04T00:00:00,1.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-11-06 15:29:00+05:30,CLOSE,325.0,189.4,,,,,,,,,,,,6363.75,target_hit
2025-11-10 09:15:00+05:30,OPEN,277.1,192.7,,,25600.0,25600.0,,,2025-11-11T00:00:00,1.0,FRONT_WEEK,STRANGLE,weekly_entry,,
2025-11-12 10:02:00+05:30,CLOSE,263.0,165.55,,,,,,,,,,,,3093.75,dataset_end
